
Table/View                      Schema          Type  Creation time
------------------------------- --------------- ----- --------------------------
DMD_AREAGRP                     DEVMINER        T     2007-05-30-18.57.02.266950
DMD_AREAGRP_ARC                 DEVMINER        T     2007-05-30-18.57.02.636510
DMD_AREAGRPAREA                 DEVMINER        T     2007-05-30-18.57.02.349486
DMD_AREAGRPAREA_ARC             DEVMINER        T     2007-05-30-18.57.02.421428
DMD_AREAGRPEQP                  DEVMINER        T     2007-05-30-18.57.02.496199
DMD_AREAGRPEQP_ARC              DEVMINER        T     2007-05-30-18.57.02.567160
DMD_BANK                        DEVMINER        T     2007-05-30-18.57.02.708646
DMD_BANK_ARC                    DEVMINER        T     2007-05-30-18.57.02.784384
DMD_CLDDT                       DEVMINER        T     2007-05-31-17.28.10.353859
DMD_CLDSHF                      DEVMINER        T     2007-05-30-18.57.02.941363
DMD_CODE                        DEVMINER        T     2007-05-30-18.57.03.015273
DMD_CODE_ARC                    DEVMINER        T     2007-05-30-18.57.03.085345
DMD_DCDEF                       DEVMINER        T     2007-05-30-18.57.03.153791
DMD_DCDEF_ARC                   DEVMINER        T     2007-05-30-18.57.03.363125
DMD_DCDEFITEM                   DEVMINER        T     2007-05-30-18.57.03.223164
DMD_DCDEFITEM_ARC               DEVMINER        T     2007-05-30-18.57.03.293066
DMD_DCSPEC_DCDEF                DEVMINER        T     2007-05-30-18.39.21.618325
DMD_DCSPEC_ITEM                 DEVMINER        T     2007-06-21-18.57.19.327089
DMD_DDCDEF                      DEVMINER        T     2007-05-30-18.39.21.738587
DMD_DDCDEF_ITEM                 DEVMINER        T     2007-05-30-18.39.21.851543
DMD_DDCSPEC                     DEVMINER        T     2007-05-30-18.39.21.982489
DMD_DDCSPEC_ITEM                DEVMINER        T     2007-05-30-18.39.22.114501
DMD_EQP                         DEVMINER        T     2007-06-01-09.49.51.857174
DMD_EQP_ARC                     DEVMINER        T     2007-06-01-09.49.51.950353
DMD_EQP_PRCRSC                  DEVMINER        T     2007-05-30-18.57.04.029297
DMD_EQP_PRCRSC_ARC              DEVMINER        T     2007-06-22-18.11.13.173762
DMD_EQP_STK                     DEVMINER        T     2007-05-30-18.57.04.169125
DMD_EQP_STK_ARC                 DEVMINER        T     2007-05-30-18.57.04.238466
DMD_EQPSTATE                    DEVMINER        T     2007-05-30-18.57.03.525349
DMD_EQPSTATE_ARC                DEVMINER        T     2007-05-30-18.57.03.603725
DMD_EQPTYPE                     DEVMINER        T     2007-05-30-18.57.03.680413
DMD_EQPTYPE_ARC                 DEVMINER        T     2007-05-30-18.57.03.888356
DMD_EQPTYPESKILL                DEVMINER        T     2007-05-30-18.57.03.750085
DMD_EQPTYPESKILL_ARC            DEVMINER        T     2007-05-30-18.57.03.818369
DMD_FABDATE                     DEVMINER        T     2007-05-30-18.57.04.307409
DMD_LOTPRICLASS                 DEVMINER        T     2007-05-30-18.57.04.378805
DMD_LOTPRICLASS_ARC             DEVMINER        T     2007-05-30-18.57.04.447381
DMD_LOTTYPE                     DEVMINER        T     2007-05-30-18.57.04.517243
DMD_LOTTYPE_ARC                 DEVMINER        T     2007-05-30-18.57.04.588004
DMD_LRCP                        DEVMINER        T     2007-05-31-20.04.47.408205
DMD_LRCP_ARC                    DEVMINER        T     2007-05-31-20.04.47.589413
DMD_LRCPDSET                    DEVMINER        T     2007-05-30-18.57.04.736095
DMD_LRCPDSET_ARC                DEVMINER        T     2007-05-30-18.57.04.806179
DMD_LRCPDSET_PARAM              DEVMINER        T     2007-05-30-18.39.24.607681
DMD_LRCPDSET_PRSS               DEVMINER        T     2007-05-30-18.39.24.727783
DMD_LRCPSSET                    DEVMINER        T     2007-05-30-18.57.04.950857
DMD_LRCPSSET_ARC                DEVMINER        T     2007-05-30-18.57.05.028124
DMD_LRCPSSET_PARAM              DEVMINER        T     2007-05-30-18.39.25.081041
DMD_LRCPSSET_PRSS               DEVMINER        T     2007-06-11-13.39.31.709454
DMD_MDPD                        DEVMINER        T     2007-05-30-18.39.25.465920
DMD_MDPD_ARC                    DEVMINER        T     2007-05-30-18.39.25.644642
DMD_MNPD                        DEVMINER        T     2007-06-12-12.20.44.811993
DMD_MNPD_ARC                    DEVMINER        T     2007-06-12-12.20.44.917768
DMD_MRCP                        DEVMINER        T     2007-05-30-18.57.05.397322
DMD_MRCP_ARC                    DEVMINER        T     2007-05-30-18.57.05.605380
DMD_MRCPEQP                     DEVMINER        T     2007-05-30-18.57.05.466539
DMD_MRCPEQP_ARC                 DEVMINER        T     2007-05-30-18.57.05.535757
DMD_PD                          DEVMINER        T     2007-05-30-18.57.05.767330
DMD_PD_ARC                      DEVMINER        T     2007-05-30-18.57.05.849257
DMD_PDEQP                       DEVMINER        T     2007-05-30-18.39.26.712093
DMD_PDEQP_ARC                   DEVMINER        T     2007-05-30-18.39.26.825119
DMD_PDLRCP                      DEVMINER        T     2007-06-21-14.14.52.113149
DMD_PDLRCP_ARC                  DEVMINER        T     2007-06-21-14.14.52.367794
DMD_PRIVGRP                     DEVMINER        T     2007-05-30-18.57.05.917580
DMD_PRIVGRP_ARC                 DEVMINER        T     2007-05-30-18.57.06.195179
DMD_PRIVGRPPRMS                 DEVMINER        T     2007-05-30-18.57.05.986938
DMD_PRIVGRPPRMS_ARC             DEVMINER        T     2007-05-30-18.57.06.057242
DMD_PRIVILEGE                   DEVMINER        T     2007-05-30-18.57.06.275403
DMD_PROD                        DEVMINER        T     2007-05-30-18.57.06.344281
DMD_PROD_ARC                    DEVMINER        T     2007-05-30-18.57.06.688113
DMD_PRODGRP                     DEVMINER        T     2007-05-30-18.57.06.412637
DMD_PRODGRP_ARC                 DEVMINER        T     2007-05-30-18.57.06.481548
DMD_PRODSPROD                   DEVMINER        T     2007-05-30-18.57.06.549181
DMD_PRODSPROD_ARC               DEVMINER        T     2007-05-30-18.57.06.617367
DMD_RTCL                        DEVMINER        T     2007-05-30-18.57.06.756756
DMD_RTCL_ARC                    DEVMINER        T     2007-05-30-18.57.07.166267
DMD_RTCLGRP                     DEVMINER        T     2007-05-30-18.57.06.839921
DMD_RTCLGRP_ARC                 DEVMINER        T     2007-05-30-18.57.06.947739
DMD_RTCLSET                     DEVMINER        T     2007-05-30-18.57.07.017090
DMD_RTCLSET_ARC                 DEVMINER        T     2007-05-30-18.57.07.096673
DMD_STAGE                       DEVMINER        T     2007-05-30-18.57.07.236109
DMD_STAGE_ARC                   DEVMINER        T     2007-05-30-18.57.07.453328
DMD_STAGEGRP                    DEVMINER        T     2007-05-30-18.57.07.314682
DMD_STAGEGRP_ARC                DEVMINER        T     2007-05-30-18.57.07.382437
DMD_STOCKER                     DEVMINER        T     2007-06-11-12.21.24.069158
DMD_STOCKER_ARC                 DEVMINER        T     2007-06-11-12.21.24.206390
DMD_SUBLOTTYPE                  DEVMINER        T     2007-05-31-20.04.47.772363
DMD_SUBLOTTYPE_ARC              DEVMINER        T     2007-05-31-20.04.47.890227
