
Table/View                      Schema          Type  Creation time
------------------------------- --------------- ----- --------------------------
DW_OPERSPLITMER                 FDW             T     2007-05-21-22.46.04.359001
SA_BRPERMISSION                 FDW             T     2007-05-21-22.46.10.348001
SA_BRPRIVILEGE                  FDW             T     2007-05-21-22.46.10.478001
SA_CPSCRHS                      FDW             T     2007-05-21-22.46.07.664001
SA_CPSTBHS                      FDW             T     2007-05-21-22.46.08.024001
SA_DEPTTREE                     FDW             T     2007-05-21-22.46.09.026001
SA_FBACTIONCODE                 FDW             T     2007-05-21-22.46.10.648001
SA_FBACTIONCODE_M               FDW             T     2007-05-21-22.46.10.738001
SA_FBAREGRP                     FDW             T     2007-05-21-22.46.10.818001
SA_FBAREGRP_EQP_M               FDW             T     2007-05-21-22.46.11.099001
SA_FBAREGRP_M                   FDW             T     2007-05-21-22.46.10.898001
SA_FBAREGRP_UD_M                FDW             T     2007-05-21-22.46.11.409000
SA_FBAREGRP_WKARE_M             FDW             T     2007-05-21-22.46.11.519001
SA_FBBANK                       FDW             T     2007-05-21-22.46.11.690001
SA_FBBANK_BANK_M                FDW             T     2007-05-21-22.46.11.850001
SA_FBBANK_M                     FDW             T     2007-05-21-22.46.11.760001
SA_FBBANK_UD_M                  FDW             T     2007-05-21-22.46.11.970001
SA_FBCALND                      FDW             T     2007-05-21-22.46.12.220001
SA_FBCALND_M                    FDW             T     2007-05-21-22.46.12.351001
SA_FBCALND_SHIFT_M              FDW             T     2007-05-21-22.46.12.621001
SA_FBCALND_UD_M                 FDW             T     2007-05-21-22.46.12.751001
SA_FBCARRIER                    FDW             T     2007-05-21-22.46.13.192001
SA_FBCARRIER_M                  FDW             T     2007-05-21-22.46.13.342001
SA_FBCARRIER_UD_M               FDW             T     2007-05-21-22.46.13.472001
SA_FBCARRIERCAT                 FDW             T     2007-05-21-22.46.12.861001
SA_FBCARRIERCAT_M               FDW             T     2007-05-21-22.46.12.941001
SA_FBCARRIERCAT_UD_M            FDW             T     2007-05-21-22.46.13.062001
SA_FBCN                         FDW             T     2007-05-21-22.46.13.562001
SA_FBCN_ITEM_M                  FDW             T     2007-05-21-22.46.13.843001
SA_FBCN_M                       FDW             T     2007-05-21-22.46.13.682001
SA_FBCN_REFDOC_M                FDW             T     2007-05-21-22.46.14.103001
